"personLabel"	"assocLabel"
"Albert Beger"	"John Coltrane"
"Allan Eshuijs"	"Dannii Minogue"
"Doug Stegmeyer"	"Billy Joel"
"Eddie Van Halen"	"Brian May"
"Ian Masterson"	"Dannii Minogue"
"Mark Reale"	"Bonnie Tyler"
"Bryan Loren"	"Barry White"
"Clyde McKnight"	"Lisa Lopes"
"Mark McLean"	"George Michael"
"Michael Huey"	"Lindsey Buckingham"
"Ralph Patt"	"Benny Goodman"
"Onzy Matthews"	"Duke Ellington"
"Mick Gallagher"	"Ian Dury"
"Mike Dillon (musician)"	"Les Claypool"
"Black Benny"	"Jelly Roll Morton"
"Israel Crosby"	"Benny Goodman"
"Jimmy Archey"	"King Oliver"
"Joe Darensbourg"	"Jelly Roll Morton"
"John McLevy"	"Benny Goodman"
"Morey Feld"	"Benny Goodman"
"Papa John Joseph"	"Buddy Bolden"
"Wilbur Harden"	"John Coltrane"
"Zue Robertson"	"Jelly Roll Morton"
"Zue Robertson"	"King Oliver"
"Maria Cole"	"Duke Ellington"
"Trevor Spencer"	"Cliff Richard"
"O'Landa Draper"	"Billy Joel"
"Walter B. Rogers"	"John Philip Sousa"
"Holle Thee Maxwell"	"Ike Turner"
"Bill Nelson (musician)"	"Gary Numan"
"Dar Williams"	"Joan Baez"
"El DeBarge"	"Barry White"
"Frankie Miller"	"Bonnie Tyler"
"Ian Wallace (drummer)"	"Keith Emerson"
"Ian Wallace (drummer)"	"Lindsey Buckingham"
"Kai Winding"	"Benny Goodman"
"Lil Hardin Armstrong"	"King Oliver"
"Lionel Hampton"	"Benny Goodman"
"Ma Rainey"	"Bessie Smith"
"Mary Travers"	"John Denver"
"Neil Murray (British musician)"	"Brian May"
"Rico (Scottish singer)"	"Gary Numan"
"Eric Dolphy"	"John Coltrane"
"Johnny Hodges"	"Duke Ellington"
"Thelonious Monk"	"John Coltrane"
"Víctor Jara"	"Joan Baez"
"Chris Eaton (UK musician)"	"Cliff Richard"
"Diane Charlemagne"	"Goldie"
"Kareen Antonn"	"Bonnie Tyler"
"Mickey Simmonds"	"Fish (singer)"
"Ray Brown Jr."	"Ella Fitzgerald"
"Chick Webb"	"Ella Fitzgerald"
"Claude Thornhill"	"Benny Goodman"
"Claude Thornhill"	"Billie Holiday"
"Kenny Dorham"	"Charlie Parker"
"Lucky Thompson"	"Charlie Parker"
"Lucky Thompson"	"Dizzy Gillespie"
"Buddy Rich"	"Ella Fitzgerald"
"Odetta"	"Bessie Smith"
"Odetta"	"Joan Baez"
"Dick Morrissey"	"Gary Numan"
"Juan Tizol"	"Duke Ellington"
"Charlie Midnight"	"Billy Joel"
"Hillary Lindsey"	"Gwyneth Paltrow"
"Ted Jensen"	"Billy Joel"
"Betsy Cook"	"George Michael"
"Bob Relf"	"Barry White"
"Sayyd Abdul Al-Khabyyr"	"Dizzy Gillespie"
"Chico Hamilton"	"Duke Ellington"
"Fats Navarro"	"Benny Goodman"
"Fats Navarro"	"Charlie Parker"
"Fats Navarro"	"Dizzy Gillespie"
"Jess Stacy"	"Benny Goodman"
"John Young (British musician)"	"Bonnie Tyler"
"John Young (British musician)"	"Fish (singer)"
"Liberty DeVitto"	"Billy Joel"
"Method Man"	"Lisa Lopes"
"Paul Smith (pianist)"	"Dizzy Gillespie"
"Paul Smith (pianist)"	"Ella Fitzgerald"
"Quincy Jones"	"Dizzy Gillespie"
"Ravi Shankar"	"John Coltrane"
"Trent Reznor"	"Gary Numan"
"Zutty Singleton"	"Jelly Roll Morton"
"Dick Twardzik"	"Charlie Parker"
"Dylan Keefe"	"John Wozniak"
"Hank Marvin"	"Cliff Richard"
"Jimmy Blanton"	"Duke Ellington"
"Greg Smith (American musician)"	"Billy Joel"
"Lorenzo Smith"	"Lisa Lopes"
"Norman Watt-Roy"	"Ian Dury"
"Philip Sheppard (musician)"	"Juliette Binoche"
"Peter Gormley"	"Cliff Richard"
"Jairo (singer)"	"Astor Piazzolla"
"Archie Shepp"	"John Coltrane"
"Arturo Sandoval"	"Dizzy Gillespie"
"Benny Carter"	"Billie Holiday"
"Benny Carter"	"Dizzy Gillespie"
"Bill Laswell"	"Herbie Hancock"
"Billy Currie"	"Gary Numan"
"Billy Strayhorn"	"Duke Ellington"
"Bobby McFerrin"	"Herbie Hancock"
"Carlos Santana"	"Herbie Hancock"
"Chad Smith"	"Glenn Hughes"
"Clark Terry"	"Dizzy Gillespie"
"Clark Terry"	"Duke Ellington"
"Cozy Powell"	"Brian May"
"Dexter Gordon"	"Dizzy Gillespie"
"Doc Severinsen"	"Benny Goodman"
"Don Alias"	"Herbie Hancock"
"Elvin Jones"	"John Coltrane"
"Gary Burton"	"Herbie Hancock"
"Harry James"	"Benny Goodman"
"Hoagy Carmichael"	"Bix Beiderbecke"
"Hoagy Carmichael"	"Duke Ellington"
"Jack DeJohnette"	"Herbie Hancock"
"Jackson Browne"	"Joan Baez"
"Jaco Pastorius"	"Herbie Hancock"
"James Burton"	"John Denver"
"Jim Steinman"	"Bonnie Tyler"
"Joe Henderson"	"Herbie Hancock"
"Johnny Smith"	"Benny Goodman"
"Juan María Solare"	"Astor Piazzolla"
"Judy Collins"	"Joan Baez"
"Mary Chapin Carpenter"	"Joan Baez"
"McCoy Tyner"	"John Coltrane"
"Michael Brecker"	"Herbie Hancock"
"Nelson Riddle"	"Ella Fitzgerald"
"Nelson Riddle"	"Judy Garland"
"Pepper Adams"	"Benny Goodman"
"Pepper Adams"	"John Coltrane"
"Ralph Carney"	"Les Claypool"
"Rashied Ali"	"John Coltrane"
"Ray Charles"	"Billy Joel"
"Scott LaFaro"	"Benny Goodman"
"Sonny Rollins"	"Dizzy Gillespie"
"Stan Getz"	"Dizzy Gillespie"
"Steve Earle"	"Joan Baez"
"Tim Rice"	"Cliff Richard"
"Violeta Parra"	"Joan Baez"
"Bennie Maupin"	"Herbie Hancock"
"Nathan East"	"Herbie Hancock"
"Alice Coltrane"	"John Coltrane"
"Billy Taylor"	"Charlie Parker"
"Billy Taylor"	"Dizzy Gillespie"
"Brian Bennett"	"Cliff Richard"
"Carl Sigman"	"Duke Ellington"
"Chaz Jankel"	"Ian Dury"
"Eric Singer"	"Brian May"
"Gigi (singer)"	"Herbie Hancock"
"Hank Jones"	"Charlie Parker"
"Hank Jones"	"Ella Fitzgerald"
"Ian Haugland"	"Glenn Hughes"
"Jerome Dillon"	"Gary Numan"
"John Levén"	"Glenn Hughes"
"John Wesley (guitarist)"	"Fish (singer)"
"Lisa Germano"	"Billy Joel"
"Louie Bellson"	"Benny Goodman"
"Louie Bellson"	"Duke Ellington"
"Louie Bellson"	"Ella Fitzgerald"
"Mic Michaeli"	"Glenn Hughes"
"Nash the Slash"	"Gary Numan"
"Phil Woods"	"Benny Goodman"
"Phil Woods"	"Dizzy Gillespie"
"Ray Parker Jr."	"Barry White"
"Reggie Workman"	"John Coltrane"
"Roy Z"	"Glenn Hughes"
"Wah Wah Watson"	"Herbie Hancock"
"Charlie Christian"	"Benny Goodman"
"Max Roach"	"Charlie Parker"
"Max Roach"	"Dizzy Gillespie"
"Max Roach"	"Duke Ellington"
"Wellman Braud"	"Duke Ellington"
"Billy Eckstine"	"Charlie Parker"
"Billy Eckstine"	"Dizzy Gillespie"
"Freddie Hubbard"	"Herbie Hancock"
"Isham Jones"	"Benny Goodman"
"James ""Bubber"" Miley"	"Duke Ellington"
"Lee Morgan"	"Dizzy Gillespie"
"Lee Morgan"	"John Coltrane"
"Milt Jackson"	"Dizzy Gillespie"
"Milt Jackson"	"John Coltrane"
"Oscar Pettiford"	"Dizzy Gillespie"
"Oscar Pettiford"	"Duke Ellington"
"Tricky Sam Nanton"	"Duke Ellington"
"Vinnie Colaiuta"	"Herbie Hancock"
"Antônio Carlos Jobim"	"Ella Fitzgerald"
"Gerry Mulligan"	"Astor Piazzolla"
"Gerry Mulligan"	"Duke Ellington"
"Pat Metheny"	"Herbie Hancock"
"Andy Richards"	"George Michael"
"Art Lassiter"	"Ike Turner"
"Ben Webster"	"Duke Ellington"
"Jimmy Lewis (bassist)"	"Duke Ellington"
"Al Grey"	"Dizzy Gillespie"
"Betty Roché"	"Duke Ellington"
"Bobby DeBarge"	"Barry White"
"Harry Akst"	"Irving Berlin"
"Miranda Cooper"	"Dannii Minogue"
"Richard Dashut"	"Christine McVie"
"Richard Dashut"	"Lindsey Buckingham"
"Tommy Flanagan"	"Ella Fitzgerald"
"Tommy Flanagan"	"John Coltrane"
"Chuckii Booker"	"Barry White"
"Herb Pomeroy"	"Charlie Parker"
"Jimmy Forrest"	"Duke Ellington"
"Johnny Zell"	"Lawrence Welk"
"Stan Levey"	"Benny Goodman"
"Stan Levey"	"Billie Holiday"
"Stan Levey"	"Charlie Parker"
"Stan Levey"	"Dizzy Gillespie"
"Stan Levey"	"Ella Fitzgerald"
"Stan Levey"	"Henry Mancini"
"Jimmy Hamilton"	"Duke Ellington"
"Jimmy Mundy"	"Benny Goodman"
"Junior Cook"	"Dizzy Gillespie"
"Neil Levang"	"Lawrence Welk"
"Norma Zimmer"	"Lawrence Welk"
"Paul Leary"	"John Paul Jones (musician)"
"Taffy Nivert"	"John Denver"
"Buster Smith"	"Charlie Parker"
"Buster Smith"	"Duke Ellington"
"Buster Smith"	"Ella Fitzgerald"
"George Van Eps"	"Benny Goodman"
"Jackie Brenston"	"Ike Turner"
"Paul Gardiner"	"Gary Numan"
"Preston Love"	"Billie Holiday"
"Rob Holliday"	"Gary Numan"
"Carroll Dickerson"	"King Oliver"
"Christopher Neil"	"Bonnie Tyler"
"Hedras Ramos"	"Christopher Lee"
"Bill Page"	"Lawrence Welk"
"James ""Boogaloo"" Bolden"	"Duke Ellington"
"Ted Jensen discography"	"Billy Joel"
"Rufus Tiger Taylor"	"Brian May"
"Yogi Horton"	"Jean-Michel Jarre"
"Irving Bibo"	"John Philip Sousa"
"Matt Colton"	"George Michael"
"Afrika Bambaataa"	"Goldie"
"Andrew Ridgeley"	"George Michael"
"Davey Payne"	"Ian Dury"
"Ethel Waters"	"Bessie Smith"
"George Cates"	"Lawrence Welk"
"Johnny Guarnieri"	"Benny Goodman"
"Johnny Hartman"	"Dizzy Gillespie"
"Johnny Hartman"	"John Coltrane"
"Nick Lucas"	"Duke Ellington"
"Robin Finck"	"Gary Numan"
"Teddy Wilson"	"Benny Goodman"
"Teddy Wilson"	"Billie Holiday"
"Allan Reuss"	"Benny Goodman"
"Gene Page"	"Barry White"
"Mousey Alexander"	"Benny Goodman"
"Mousey Alexander"	"Billie Holiday"
"Bobby Tucker"	"Billie Holiday"
"Ed Cherry"	"Dizzy Gillespie"
"Bill Kenny (singer)"	"Ella Fitzgerald"
"Kevin L. Evans"	"Barry White"
"Marco Sabiu"	"Christopher Lee"
"Natalie Duncan"	"Goldie"
"TJ Davis"	"Gary Numan"
"Tom Hambridge"	"Chuck Berry"
"Tommy Vig"	"Henry Mancini"
"Art Davis"	"Dizzy Gillespie"
"Art Davis"	"John Coltrane"
